No,Magnet,x_shift,y_shift,z_shift,Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
1_1,dipole(1),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_2,dipole(2),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_3,quadrupole(1),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_4,quadrupole(2),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_5,quadrupole(3),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_6,quadrupole(4),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7_7,quadrupole(5),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8_8,quadrupole(6),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9_9,vertical_kicker(1),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_10,vertical_kicker(2),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11_11,vertical_kicker(3),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_12,vertical_kicker(4),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_13,vertical_kicker(5),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
14_14,horizontal_kicker(1),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
15_15,horizontal_kicker(2),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
16_16,horizontal_kicker(3),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
17_17,horizontal_kicker(4),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
18_18,horizontal_kicker(5),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
19_1,dipole(1),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_2,dipole(2),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21_3,quadrupole(1),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_4,quadrupole(2),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_5,quadrupole(3),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24_6,quadrupole(4),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25_7,quadrupole(5),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26_8,quadrupole(6),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27_9,vertical_kicker(1),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28_10,vertical_kicker(2),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29_11,vertical_kicker(3),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30_12,vertical_kicker(4),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31_13,vertical_kicker(5),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
32_14,horizontal_kicker(1),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
33_15,horizontal_kicker(2),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
34_16,horizontal_kicker(3),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
35_17,horizontal_kicker(4),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
36_18,horizontal_kicker(5),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
37_1,dipole(1),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38_2,dipole(2),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39_3,quadrupole(1),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_4,quadrupole(2),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41_5,quadrupole(3),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42_6,quadrupole(4),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43_7,quadrupole(5),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44_8,quadrupole(6),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45_9,vertical_kicker(1),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46_10,vertical_kicker(2),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47_11,vertical_kicker(3),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48_12,vertical_kicker(4),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49_13,vertical_kicker(5),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51249e-09,3.84693e-09,4.86947e-09,-7.30687e-09
50_14,horizontal_kicker(1),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51249e-09,3.84693e-09,4.86947e-09,-7.30687e-09
51_15,horizontal_kicker(2),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51249e-09,3.84693e-09,4.86947e-09,-7.30687e-09
52_16,horizontal_kicker(3),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51249e-09,3.84693e-09,4.86947e-09,-7.30687e-09
53_17,horizontal_kicker(4),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51249e-09,3.84693e-09,4.86947e-09,-7.30687e-09
54_18,horizontal_kicker(5),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51249e-09,3.84693e-09,4.86947e-09,-7.30687e-09
55_1,dipole(1),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56_2,dipole(2),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57_3,quadrupole(1),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58_4,quadrupole(2),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59_5,quadrupole(3),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60_6,quadrupole(4),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61_7,quadrupole(5),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62_8,quadrupole(6),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63_9,vertical_kicker(1),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64_10,vertical_kicker(2),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65_11,vertical_kicker(3),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66_12,vertical_kicker(4),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67_13,vertical_kicker(5),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51887e-09,-3.84652e-09,4.86279e-09,7.30661e-09
68_14,horizontal_kicker(1),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51887e-09,-3.84652e-09,4.86279e-09,7.30661e-09
69_15,horizontal_kicker(2),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51887e-09,-3.84652e-09,4.86279e-09,7.30661e-09
70_16,horizontal_kicker(3),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51887e-09,-3.84652e-09,4.86279e-09,7.30661e-09
71_17,horizontal_kicker(4),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51887e-09,-3.84652e-09,4.86279e-09,7.30661e-09
72_18,horizontal_kicker(5),0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,4.51887e-09,-3.84652e-09,4.86279e-09,7.30661e-09
73_1,dipole(1),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74_2,dipole(2),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75_3,quadrupole(1),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76_4,quadrupole(2),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77_5,quadrupole(3),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78_6,quadrupole(4),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79_7,quadrupole(5),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80_8,quadrupole(6),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81_9,vertical_kicker(1),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82_10,vertical_kicker(2),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83_11,vertical_kicker(3),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84_12,vertical_kicker(4),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85_13,vertical_kicker(5),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,4.47064e-08,-3.84699e-08,4.85938e-08,7.30649e-08
86_14,horizontal_kicker(1),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,4.47064e-08,-3.84699e-08,4.85938e-08,7.30649e-08
87_15,horizontal_kicker(2),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,4.47064e-08,-3.84699e-08,4.85938e-08,7.30649e-08
88_16,horizontal_kicker(3),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,4.47064e-08,-3.84699e-08,4.85938e-08,7.30649e-08
89_17,horizontal_kicker(4),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,4.47064e-08,-3.84699e-08,4.85938e-08,7.30649e-08
90_18,horizontal_kicker(5),0,0,0.001,1,0,0,0,0,0,0,0,0,0,0,4.47064e-08,-3.84699e-08,4.85938e-08,7.30649e-08
91_1,dipole(1),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92_2,dipole(2),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93_3,quadrupole(1),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94_4,quadrupole(2),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95_5,quadrupole(3),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96_6,quadrupole(4),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97_7,quadrupole(5),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98_8,quadrupole(6),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99_9,vertical_kicker(1),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100_10,vertical_kicker(2),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_11,vertical_kicker(3),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102_12,vertical_kicker(4),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103_13,vertical_kicker(5),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,2.2351e-07,-1.92352e-07,2.42974e-07,3.65327e-07
104_14,horizontal_kicker(1),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,2.2351e-07,-1.92352e-07,2.42974e-07,3.65327e-07
105_15,horizontal_kicker(2),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,2.2351e-07,-1.92352e-07,2.42974e-07,3.65327e-07
106_16,horizontal_kicker(3),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,2.2351e-07,-1.92352e-07,2.42974e-07,3.65327e-07
107_17,horizontal_kicker(4),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,2.2351e-07,-1.92352e-07,2.42974e-07,3.65327e-07
108_18,horizontal_kicker(5),0,0,0.005,1,0,0,0,0,0,0,0,0,0,0,2.2351e-07,-1.92352e-07,2.42974e-07,3.65327e-07
